고문헌자료아이디,한약재아이디,한의서명,수록위치,고문헌원문,번역문,번역문출처
CLTX66,KMH179,동의보감,湯液篇卷之二 > 果部 > 桃核仁,"性平一云溫, 味苦甘, 無毒. 主瘀血血閉. 破, 通月水, 止心痛, 殺三蟲.","성질이 평(平)하고따뜻하다고도 한다 맛은 쓰고 달며 독이 없다. 어혈과 혈폐(血閉)에 주로 쓴다. 징가를 깨뜨리고 월경을 통하게 하며, 심통을 멎게 하고 삼충(三蟲)을 죽인다.",한의학고전DB
CLTX67,KMH179,동의보감,湯液篇卷之二 > 果部 > 桃核仁,"處處有之, 七月採核, 破之取仁, 陰乾. 《本草》","곳곳에 있다. 7월에 따서 핵(核)을 깨고, 그 속의 씨를 그늘에 말린다. 《본초》",한의학고전DB
CLTX68,KMH179,동의보감,湯液篇卷之二 > 果部 > 桃核仁,"破滯血生新血, 逐瘀活血, 有功. 《醫鑑》",막힌 피를 깨뜨리고 새 피가 생겨나게 하니 어혈을 몰아내고 혈을 잘 돌아가게 하는 효과가 있다. 《의감》,한의학고전DB
CLTX69,KMH179,동의보감,湯液篇卷之二 > 果部 > 桃核仁,"肝者血之海, 血受邪則肝氣燥. 經曰, 肝苦急, 急食甘以緩之. 桃仁味苦甘辛, 散血, 緩肝也. 《綱目》","간은 혈의 바다이다. 혈이 사기(邪氣)를 받으면 간기가 마르게 된다. 《경》에서, ""간은 당기는 것으로 괴로워하니 급히 단맛으로 풀어주어야 한다""고 했다. 도인은 맛이 쓰고 달고 매워서 혈을 흩으니 간을 완만하게 한다. 《강목》",한의학고전DB
CLTX70,KMH179,동의보감,湯液篇卷之二 > 果部 > 桃核仁,"入手足厥陰經, 湯浸, 去雙仁及皮尖, 硏如泥用. 《湯液》","수족궐음경으로 들어간다. 따뜻한 물에 담가 씨가 2개 든 것을 빼고, 껍질을 벗기고 뾰족한 끝을 뗀 후에 진흙처럼 갈아서 쓴다. 《탕액》",한의학고전DB
CLTX71,KMH183,동의보감,湯液篇卷之二 > 草部 上 > 獨活,"性平一云微溫, 味甘苦一云辛, 無毒. 療諸賊風, 百節痛風, 無久新者. 治中風失音, 斜, 遍身痺, 及筋骨攣痛.","성질이 평(平)하고약간 따뜻하다고도 한다 맛은 달고 쓰며맵다고도 한다 독이 없다. 온갖 적풍(賊風)과 전신의 관절에 생긴 통풍을 갓 생긴 것이나 오래된 것에 관계 없이 모두 치료한다. 중풍으로 말을 못하는 것, 구안와사, 반신불수, 온몸에 감각이 없는 것, 근골에 경련이 일면서 아픈 것을 치료한다.",한의학고전DB
CLTX72,KMH183,동의보감,湯液篇卷之二 > 草部 上 > 獨活,"生山野中, 二月三月九月十月採根, 暴乾. 此草得風不搖, 無風自動, 故一名獨搖草. 《本草》",산이나 들에서 자란다. 2월ㆍ3월ㆍ9월ㆍ10월에 뿌리를 캐어 볕에 말린다. 이 풀은 바람이 불 때는 흔들리지 않다가 바람이 없을 때 저절로 움직여 독요초(獨搖草)라고도 한다. 《본초》,한의학고전DB
CLTX73,KMH183,동의보감,湯液篇卷之二 > 草部 上 > 獨活,"一莖直上, 得風不搖, 故曰獨活, 乃足少陰行經藥也. 獨活氣細, 羌活氣雄. 《入門》","줄기 하나가 곧게 서서 바람에도 흔들리지 않아 독활(獨活)이라고 하는데, 족소음경에 작용하는 약이다. 독활은 향이 약하고, 강활은 향이 강하다. 《입문》",한의학고전DB
CLTX74,KMH183,동의보감,湯液篇卷之二 > 草部 上 > 獨活,"療風宜用獨活, 兼水宜用羌活. 今人以紫色節密者爲羌活, 黃色而作塊者爲獨活. 《本草》","풍을 치료할 때는 독활을 써야 하고, 수종을 겸하였을 때는 강활을 써야 한다. 요즘은 자주색에 마디가 치밀한 것을 강활이라 하고, 노란색에 덩이진 것을 독활이라 한다. 《본초》",한의학고전DB
CLTX75,KMH183,동의보감,湯液篇卷之二 > 草部 上 > 獨活,"獨活氣細而色白, 治足少陰伏風. 故兩足寒濕痺不能動, 非此不除. 《湯液》","독활은 향이 약하고 흰색인데, 족소음경에 잠복된 풍을 치료한다. 한습비로 다리를 움직일 수 없을 때는 이것이 아니면 치료할 수 없다. 《탕액》",한의학고전DB
CLTX76,KMH219,동의보감,湯液篇卷之三 > 草部 下 > 麻黃,"性溫一云平, 味苦一云甘, 無毒. 主中風傷寒頭痛, 溫, 發表出汗, 去邪熱氣. 除寒熱, 五藏邪氣, 通理. 治溫疫, 禦山嵐氣.","성질이 따뜻하고평(平)하다고도 한다 맛은 쓰며달다고도 한다 독이 없다. 중풍과 상한으로 머리가 아픈 것과 온학에 주로 쓴다. 겉으로 땀을 내어 열사(熱邪)를 없앤다. 한열과 오장의 사기를 없애고, 주리를 통하게 한다. 온역과 산람장기를 치료한다.",한의학고전DB
CLTX77,KMH219,동의보감,湯液篇卷之三 > 草部 下 > 麻黃,"立秋採莖, 陰乾令靑. 用之先去根節, 根節止汗故也. 先煮一兩沸, 去上沫, 沫令人煩. 《本草》",입추에 줄기를 베어 그늘에 말려 푸르게 한다. 쓸 때 먼저 뿌리와 마디를 제거하는 것은 뿌리와 마디가 땀을 멎게 하기 때문이다. 먼저 1～2번 끓여 거품을 제거하는 것은 거품이 사람을 답답하게 하기 때문이다. 《본초》,한의학고전DB
CLTX78,KMH219,동의보감,湯液篇卷之三 > 草部 下 > 麻黃,"麻黃生于中牟, 雪積五尺, 有麻黃處, 則雪不聚. 盖通陽氣, 却外寒也. 《三因》","마황은 중모(中牟) 지방에 자라는데, 눈이 5자나 쌓여도 마황이 있는 곳에는 눈이 쌓이지 않는다. 마황이 양기를 소통시켜 외부의 찬 기운을 물리치기 때문이다. 《삼인》",한의학고전DB
CLTX79,KMH219,동의보감,湯液篇卷之三 > 草部 下 > 麻黃,"麻黃, 手太陰之劑, 入足太陽經, 走手少陰經ㆍ陽明經, 發太陽ㆍ少陰經汗, 去表上之寒邪, 瀉衛實, 去榮中寒. 《湯液》","마황은 수태음경의 약인데, 족태양경에도 들어가고 수소음경과 수양명경에도 이르러 태양경과 소음경에 땀을 내게 하여 겉의 한사를 물리친다. 위분(衛分)의 실(實)한 것을 사하고, 영분(榮分)의 한사를 없앤다. 《탕액》",한의학고전DB
CLTX80,KMH219,동의보감,湯液篇卷之三 > 草部 下 > 麻黃,"自中原移植于我國諸邑, 而不爲繁殖. 惟江原道, 慶尙道有之. 《俗方》",중원(中原)에서 우리나라로 옮겨 심어도 번식이 되지 않는다. 오직 강원도와 경상도에만 있다. 《속방》,한의학고전DB
CLTX81,KMH231,동의보감,湯液篇卷之二 > 草部 上 > 麥門冬,"性微寒一云平, 味甘, 無毒. 主虛勞客熱, 口乾燥渴. 治肺吐膿, 療熱毒身黑目黃. 補心淸肺, 保神, 定氣.","성질이 약간 차고평(平)하다고도 한다 맛은 달며 독이 없다. 허로로 객열(客熱)이 생긴 것과 입안이 마르고 갈증나는 데 주로 쓴다. 폐위로 고름을 토하는 것과 열독으로 몸이 검어지면서 눈이 누렇게 되는 것을 치료한다. 심을 보하고 폐를 식혀 주며, 신(神)을 보호하고 맥기(氣)를 안정시킨다.",한의학고전DB
CLTX82,KMH231,동의보감,湯液篇卷之二 > 草部 上 > 麥門冬,"葉靑似莎草, 四季不凋. 根作連珠, 形似麥顆, 故名麥門冬. 二三月九十月採根, 陰乾. 以肥大者爲好. 用之, 湯潤, 抽去心, 不爾令人煩. 《本草》","잎은 푸르고 향부자와 비슷한데, 사계절 내내 시들지 않는다. 뿌리에 겉보리 낟알같이 생긴 덩이뿌리가 달려 있어서 맥문동(麥門冬)이라고 부른다. 2～3월과 9～10월에 뿌리를 캐어 그늘에서 말리는데, 살지고 큰 것이 좋다. 쓸 때는 끓는 물에 불려 심을 빼야 한다. 그렇게 하지 않으면 답답하게 한다. 《본초》",한의학고전DB
CLTX83,KMH231,동의보감,湯液篇卷之二 > 草部 上 > 麥門冬,"入手太陰經, 行經酒浸. 《入門》","수태음경에 들어가는데, 경(經)을 통하게 하려면 술에 담갔다가 쓴다. 《입문》",한의학고전DB
CLTX84,KMH231,동의보감,湯液篇卷之二 > 草部 上 > 麥門冬,"我國慶尙全羅忠淸道有之, 生肥土及海島中. 《俗方》","우리나라에는 경상도ㆍ전라도ㆍ충청도에 있는데, 비옥한 땅이나 섬에서 자란다. 《속방》",한의학고전DB
CLTX85,KMH232,동의보감,內景篇卷之三 > 脾臟 > 單方 > 大麥芽,"補脾消食. 煮服, 末服皆佳. 《本草》","비를 보하고 음식을 소화시킨다. 달여 먹거나 가루내어 먹는 데, 모두 좋다. 《본초》",한의학고전DB
CLTX86,KMH232,동의보감,湯液篇卷之一 > 穀部 > 大麥 > 大麥,"性微煖一云溫, 味甘, 無毒. 能消化宿食, 去心腹脹滿, 溫中下氣, 開胃, 止亂, 破結, 能催生落胎. 久食消腎, 不可多食. 《本草》","성질이 약간 따뜻하고따뜻하다고도 한다 맛은 달고 짜며 독이 없다. 숙식(宿食)을 소화시키고 명치의 창만을 삭이며, 속을 데우고 기를 내리며, 식욕을 돋우고 곽란을 멎게 하며, 적취를 깨뜨리고 출산을 촉진시키며, 낙태시킨다. 오래 먹으면 신기(腎氣)를 소모시키니 많이 먹으면 안 된다. 《본초》",한의학고전DB
CLTX87,KMH232,동의보감,湯液篇卷之一 > 穀部 > 大麥 > 大麥,不以理生芽爲. 《入門》,순리대로 싹을 틔우지 않아서 '얼()'이라고 한다. 《입문》,한의학고전DB
CLTX88,KMH232,동의보감,湯液篇卷之一 > 穀部 > 大麥 > 大麥,"大麥水漬, 候芽生, 急暴令乾用, 可作飴糖. 《日用》",보리를 물에 담가 싹이 나면 급히 볕에 말려서 쓴다. 엿을 만들 수 있다. 《일용》,한의학고전DB
CLTX89,KMH232,동의보감,湯液篇卷之一 > 穀部 > 大麥 > 大麥,"麥, 行上焦滯血, 宿食腸鳴, 溫中消穀. 《醫鑑》","보리길금은 상초에 막힌 혈을 잘 운행시키고, 숙식(宿食)이나 배에서 소리나는 것을 치료하며, 속을 데우고 곡식을 소화시킨다. 《의감》",한의학고전DB
CLTX90,KMH232,동의보감,湯液篇卷之一 > 穀部 > 大麥 > 大麥,"入藥, 炒黃杵細, 取用之. 《湯液》",약에 넣을 때는 누렇게 볶은 후에 곱게 찧어 가루내어 쓴다. 《탕액》,한의학고전DB
CLTX91,KMH244,동의보감,湯液篇卷之三 > 草部 下 > 牡丹,"性微寒, 味辛苦, 無毒. 除堅瘀血. 治女子經不通, 血瀝腰痛, 落胎, 下胞衣. 産後一切血氣, 療癰瘡, 排膿, 消撲損瘀血.","성질이 약간 차고 맛은 맵고 쓰며 독이 없다. 징가와 어혈을 없앤다. 여자의 월경이 나오지 않는 것과 어혈요통을 치료하고, 낙태시키며, 태반이 나오게 한다. 산후의 온갖 혈기를 다스리고 옹창(癰瘡)을 치료하며, 고름을 빼내고 넘어지거나 맞아서 멍든 것을 풀어 준다.",한의학고전DB
CLTX92,KMH244,동의보감,湯液篇卷之三 > 草部 下 > 牡丹,"卽牡丹花根也. 生山中, 單葉者佳. 二月八月採根, 銅刀劈去骨, 陰乾. 《本草》","함박꽃의 뿌리이다. 산 속에서 자라는데, 홑잎인 것이 좋다. 2월과 8월에 뿌리를 캐어 구리칼로 심을 제거하고 그늘에서 말린다. 《본초》",한의학고전DB
CLTX93,KMH244,동의보감,湯液篇卷之三 > 草部 下 > 牡丹,"入足少陰ㆍ手厥陰, 治無汗之骨蒸, 能瀉陰中之火. 酒拌蒸用, 白者補, 赤者利. 《入門》",족소음과 수궐음에 들어가 땀이 나지 않으면서 골증열(骨蒸熱)이 있는 것을 치료한다. 음 속의 화를 사할 수 있다. 술에 버무려 쪄서 쓴다. 흰 것은 보하고 붉은 것은 잘 통하게 한다. 《입문》,한의학고전DB
CLTX94,KMH252,동의보감,湯液篇卷之三 > 草部 下 > 通草,"性平一云微寒, 味辛甘, 無毒. 治五淋, 利小便, 開關格. 治水腫, 除煩熱, 通利九竅, 出音聲. 療脾疸常欲眠, 墮胎, 去三蟲.","성질이 평(平)하고약간 차다고도 한다 맛은 맵고 달며 독이 없다. 오림(五淋)을 치료하고 소변을 잘 나오게 하며 관격을 풀어준다. 수종을 치료하고 번열을 없애며, 구규(九竅)를 잘 통하게 하고 목소리를 나오게 한다. 비달(脾疸)로 늘 자려고만 하는 것을 치료하고, 낙태시키며, 삼충(三蟲)을 없앤다.",한의학고전DB
CLTX95,KMH252,동의보감,湯液篇卷之三 > 草部 下 > 通草,"生山中, 作藤蔓, 大如指. 每節有二三枝, 枝頭出五葉, 結實如小木瓜, 核黑白, 食之甘美. 謂之覆子. 正月二月採枝, 陰乾.","산 속에서 손가락 굵기의 덩굴로 자란다. 마디마다 2～3개의 잎자루가 달리는데, 각 잎자루에는 5잎이 자라난다. 열매는 작은 모과 크기로 과핵은 검고 박 속은 흰데, 먹어 보면 아주 맛이 좋다. 이것을 연복자(覆子)라고 부른다. 정월과 2월에 덩굴을 베어 그늘에서 말린다.",한의학고전DB
CLTX96,KMH252,동의보감,湯液篇卷之三 > 草部 下 > 通草,"莖有細孔, 兩頭皆通, 含一頭吹之, 則氣出彼頭者, 良. 《本草》",줄기 내부는 가느다란 구멍이 관통하고 있다. 한쪽 구멍에 입을 대고 불면 반대편 구멍으로 공기가 관통해 나오는 것이 좋은 것이다. 《본초》,한의학고전DB
CLTX97,KMH252,동의보감,湯液篇卷之三 > 草部 下 > 通草,"通草卽木通也. 心空有瓣, 輕白可愛. 去皮節生用. 通行十二經, 故名爲通草. 《入門》","통초는 곧 목통이다. 줄기 가운데가 비어 있고 판이 있는데, 가볍고 희며 귀엽다. 껍질과 마디를 제거하고 생것으로 쓴다. 십이경맥을 통하게 하기 때문에 통초(通草)라고 한다. 《입문》",한의학고전DB
CLTX98,KMH252,동의보감,湯液篇卷之三 > 草部 下 > 通草,"木通, 性平味甘而淡. 主小便不利. 導小腸熱, 通經利竅. 《湯液》",목통은 성질이 평(平)하고 맛은 달고 담백하다. 소변불리에 주로 쓴다. 소장열을 뽑아내고 월경을 통하게 하며 구규(九竅)를 잘 통하게 한다. 《탕액》,한의학고전DB
CLTX99,KMH252,동의보감,湯液篇卷之三 > 草部 下 > 通草,"木通通草, 乃一物也. 處處有之. 江原道出一種藤, 名爲木通, 色黃味苦, 瀉濕熱, 通水道, 有效. 治瘡亦效, 別是一物也. 或云, 名爲木防己, 瀉濕爲最. 《俗方》","목통과 통초는 같은 식물로 곳곳에 있다. 강원도에서 목통이라고 부르는 덩굴은 노란색으로 맛이 써서 습열을 없애고 소변을 나오게 하는 효능이 있다. 창(瘡)을 치료하는 데도 효과가 있지만, 이것은 통초와는 다른 것이다. 어떤 이는 이것의 이름이 목방기(木防己)인데 습을 사하는 데 최고라고 했다. 《속방》",한의학고전DB
CLTX100,KMH253,동의보감,湯液篇卷之二 > 草部 上 > 唐 木香,"性溫, 味辛, 無毒. 治心腹一切氣, 及九種心痛, 積年冷氣脹痛, 癖塊. 止泄瀉亂痢疾, 消毒, 殺鬼, 瘟疫, 行藥之精.","성질이 따뜻하고 맛은 매우며 독이 없다. 명치가 온갖 기로 인해 아픈 것, 9가지 심통, 오래된 냉기로 불러 오르고 아픈 것, 현벽(癖)ㆍ징괴(塊)를 치료한다. 설사ㆍ곽란ㆍ이질을 멎게 하고 독을 삭이며, 귀신들린 것을 없애고 온역을 물리치며, 약의 정(精)이 몸에서 잘 돌게 한다.",한의학고전DB
CLTX101,KMH253,동의보감,湯液篇卷之二 > 草部 上 > 唐 木香,卽靑木香也. 形如枯骨者良. 《本草》,"곧 청목향(靑木香)인데, 마른 뼈같이 생긴 것이 좋다. 《본초》",한의학고전DB
CLTX102,KMH253,동의보감,湯液篇卷之二 > 草部 上 > 唐 木香,"行氣不見火, 生磨刺服之. 止瀉, 實大腸, 濕紙包用. 《入門》",기를 돌리려면 불을 쬐지 말고 생것으로 갈아 복용한다. 설사를 멎게 하고 대장을 튼튼하게 하려면 젖은 종이에 싸서 잿불에 묻어 구워서 쓴다. 《입문》,한의학고전DB
CLTX103,KMH270,동의보감,湯液篇卷之二 > 菜部 > 薄荷,"性溫一云平, 味辛苦, 無毒. 能引諸藥入榮衛, 發毒汗, 療傷寒頭痛. 治中風賊風頭風. 通利關節, 大解勞乏.",성질이 따뜻하고평(平)하다고도 한다 맛은 맵고 쓰며 독이 없다. 여러 약들을 영위(榮衛)로 끌고 가서 땀을 내어 독을 내보낼 수 있어 상한 두통을 치료한다. 중풍ㆍ적풍(賊風)ㆍ두풍을 치료한다. 관절을 잘 통하게 하고 과로를 잘 풀어 준다.,한의학고전DB
CLTX104,KMH270,동의보감,湯液篇卷之二 > 菜部 > 薄荷,"圃中種蒔, 可生啖, 亦宜作. 夏秋採莖葉, 暴乾用. 《本草》","밭에 심는데, 생것으로 먹거나 김치를 담근다. 여름과 가을에 줄기와 잎을 따서 볕에 말려 쓴다. 《본초》",한의학고전DB
CLTX105,KMH270,동의보감,湯液篇卷之二 > 菜部 > 薄荷,"性味辛. 最淸頭目, 治骨蒸. 入手太陰ㆍ手厥陰經, 上行之藥也. 《湯液》",성질이 서늘하고 맛은 맵다. 머리와 눈을 가장 시원하게 하고 골증을 치료한다. 수태음경과 수궐음경으로 들어가니 위쪽으로 올라가는 약이다. 《탕액》,한의학고전DB
CLTX106,KMH270,동의보감,湯液篇卷之二 > 菜部 > 薄荷,猫食薄荷則醉. 《食物》,고양이가 박하를 먹으면 취한다. 《식물》,한의학고전DB
